{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.8719  0.3105  0.5000
  -4.583 -4.013  5  10  245    0.9428 -0.0234  0.4046
  -4.013 -3.839  5  10  292    0.9598  0.0186  0.1693
  -3.839 -3.489  5  10  414    0.9731  0.0373  0.1963
  -3.489 -3.314  5  10  493    0.9924  0.0173 -0.0008
  -3.314 -3.139  5  10  588    0.9947  0.0127  0.0858
  -3.139 -2.964  5  10  700    1.0217 -0.0051 -0.4414
  -2.964 -2.853  5  10  781    1.0142  0.0206 -0.5000
  -2.853 -2.650  5  10  956    1.0097  0.0219 -0.5000
  -2.650 -2.500  5  10 1108    1.0549 -0.0541 -0.5000
  -2.500 -2.322  5  10 1321    1.0259 -0.0288 -0.2209
  -2.322 -2.172  5  10 1529    1.0062 -0.0102 -0.0627
  -2.172 -1.930  5  10 1933    1.0060 -0.0090 -0.0233
  -1.930 -1.653  5  10 2511    0.9999  0.0001 -0.0085
  -1.653 -1.479  5  10 2946    0.9968  0.0039  0.0066
  -1.479 -1.305  5  10 3435    0.9965  0.0055 -0.0415
  -1.305 -1.044  5  10 4259    1.0033 -0.0027 -0.0342
  -1.044 -0.783  5  10 5141    1.0002  0.0000  0.0062
  -0.783 -0.522  5  10 5968    1.0023 -0.0021 -0.0104
  -0.522 -0.261  5  10 6574    1.0013 -0.0022 -0.0012
  -0.261 -0.000  5  10 6800    0.9979  0.0021  0.0084
  +0.000 +0.261  5  10 6800    0.9979  0.0021  0.0084
  +0.261 +0.522  5  10 6574    1.0013 -0.0022 -0.0012
  +0.522 +0.783  5  10 5968    1.0023 -0.0021 -0.0104
  +0.783 +1.044  5  10 5141    1.0002  0.0000  0.0062
  +1.044 +1.305  5  10 4259    1.0033 -0.0027 -0.0342
  +1.305 +1.479  5  10 3435    0.9965  0.0055 -0.0415
  +1.479 +1.653  5  10 2946    0.9968  0.0039  0.0066
  +1.653 +1.930  5  10 2511    0.9999  0.0001 -0.0085
  +1.930 +2.172  5  10 1933    1.0060 -0.0090 -0.0233
  +2.172 +2.322  5  10 1529    1.0062 -0.0102 -0.0627
  +2.322 +2.500  5  10 1321    1.0259 -0.0288 -0.2209
  +2.500 +2.650  5  10 1108    1.0549 -0.0541 -0.5000
  +2.650 +2.853  5  10  956    1.0097  0.0219 -0.5000
  +2.853 +2.964  5  10  781    1.0142  0.0206 -0.5000
  +2.964 +3.139  5  10  700    1.0217 -0.0051 -0.4414
  +3.139 +3.314  5  10  588    0.9947  0.0127  0.0858
  +3.314 +3.489  5  10  493    0.9924  0.0173 -0.0008
  +3.489 +3.839  5  10  414    0.9731  0.0373  0.1963
  +3.839 +4.013  5  10  292    0.9598  0.0186  0.1693
  +4.013 +4.583  5  10  245    0.9428 -0.0234  0.4046
  +4.583 +5.191  5  10  139    0.8719  0.3105  0.5000
