{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6167  0.5125  0.5000
  -4.583 -4.013  5  10  245    0.7034  0.2144  0.1103
  -4.013 -3.839  5  10  292    0.7222  0.2922  0.4333
  -3.839 -3.489  5  10  414    0.8605  0.1660  0.1646
  -3.489 -3.314  5  10  493    0.9109  0.0338  0.1315
  -3.314 -3.139  5  10  588    0.9257  0.0326  0.1453
  -3.139 -2.964  5  10  700    0.8809  0.1015  0.4484
  -2.964 -2.853  5  10  781    0.8531  0.1205  0.3214
  -2.853 -2.650  5  10  956    0.8642  0.0839  0.1719
  -2.650 -2.500  5  10 1108    0.9353 -0.0030 -0.3468
  -2.500 -2.322  5  10 1321    0.9611 -0.0113 -0.3021
  -2.322 -2.172  5  10 1529    0.9671 -0.0235 -0.2352
  -2.172 -1.930  5  10 1933    0.9744 -0.0150 -0.2110
  -1.930 -1.653  5  10 2511    0.9674 -0.0006 -0.1545
  -1.653 -1.479  5  10 2946    0.9594 -0.0030 -0.0826
  -1.479 -1.305  5  10 3435    0.9760  0.0200  0.0070
  -1.305 -1.044  5  10 4259    1.0095 -0.0111 -0.0664
  -1.044 -0.783  5  10 5141    0.9960 -0.0016  0.0021
  -0.783 -0.522  5  10 5968    1.0050 -0.0074 -0.0215
  -0.522 -0.261  5  10 6574    1.0038 -0.0022 -0.0167
  -0.261 -0.000  5  10 6800    0.9954  0.0095  0.0378
  +0.000 +0.261  5  10 6800    0.9954  0.0095  0.0378
  +0.261 +0.522  5  10 6574    1.0038 -0.0022 -0.0167
  +0.522 +0.783  5  10 5968    1.0050 -0.0074 -0.0215
  +0.783 +1.044  5  10 5141    0.9960 -0.0016  0.0021
  +1.044 +1.305  5  10 4259    1.0095 -0.0111 -0.0664
  +1.305 +1.479  5  10 3435    0.9760  0.0200  0.0070
  +1.479 +1.653  5  10 2946    0.9594 -0.0030 -0.0826
  +1.653 +1.930  5  10 2511    0.9674 -0.0006 -0.1545
  +1.930 +2.172  5  10 1933    0.9744 -0.0150 -0.2110
  +2.172 +2.322  5  10 1529    0.9671 -0.0235 -0.2352
  +2.322 +2.500  5  10 1321    0.9611 -0.0113 -0.3021
  +2.500 +2.650  5  10 1108    0.9353 -0.0030 -0.3468
  +2.650 +2.853  5  10  956    0.8642  0.0839  0.1719
  +2.853 +2.964  5  10  781    0.8531  0.1205  0.3214
  +2.964 +3.139  5  10  700    0.8809  0.1015  0.4484
  +3.139 +3.314  5  10  588    0.9257  0.0326  0.1453
  +3.314 +3.489  5  10  493    0.9109  0.0338  0.1315
  +3.489 +3.839  5  10  414    0.8605  0.1660  0.1646
  +3.839 +4.013  5  10  292    0.7222  0.2922  0.4333
  +4.013 +4.583  5  10  245    0.7034  0.2144  0.1103
  +4.583 +5.191  5  10  139    0.6167  0.5125  0.5000
