{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7014  0.5471  0.5000
  -4.583 -4.013  5  10  245    0.7656  0.2835  0.2030
  -4.013 -3.839  5  10  292    0.7856  0.2877  0.3990
  -3.839 -3.489  5  10  414    0.8958  0.1354  0.1653
  -3.489 -3.314  5  10  493    0.9641  0.0584  0.1355
  -3.314 -3.139  5  10  588    0.9589  0.0653  0.2004
  -3.139 -2.964  5  10  700    0.9234  0.0747  0.4076
  -2.964 -2.853  5  10  781    0.8559  0.1590  0.4867
  -2.853 -2.650  5  10  956    0.8871  0.1033  0.2273
  -2.650 -2.500  5  10 1108    0.9520  0.0286 -0.1883
  -2.500 -2.322  5  10 1321    1.0021 -0.0015 -0.3209
  -2.322 -2.172  5  10 1529    1.0002 -0.0086 -0.1944
  -2.172 -1.930  5  10 1933    0.9989  0.0000 -0.1524
  -1.930 -1.653  5  10 2511    1.0117 -0.0030 -0.1802
  -1.653 -1.479  5  10 2946    0.9979  0.0134 -0.0914
  -1.479 -1.305  5  10 3435    1.0112  0.0089 -0.0587
  -1.305 -1.044  5  10 4259    1.0067 -0.0157 -0.0782
  -1.044 -0.783  5  10 5141    0.9994 -0.0028 -0.0035
  -0.783 -0.522  5  10 5968    1.0011  0.0009  0.0028
  -0.522 -0.261  5  10 6574    1.0033  0.0011 -0.0026
  -0.261 -0.000  5  10 6800    0.9972  0.0021  0.0116
  +0.000 +0.261  5  10 6800    0.9972  0.0021  0.0116
  +0.261 +0.522  5  10 6574    1.0033  0.0011 -0.0026
  +0.522 +0.783  5  10 5968    1.0011  0.0009  0.0028
  +0.783 +1.044  5  10 5141    0.9994 -0.0028 -0.0035
  +1.044 +1.305  5  10 4259    1.0067 -0.0157 -0.0782
  +1.305 +1.479  5  10 3435    1.0112  0.0089 -0.0587
  +1.479 +1.653  5  10 2946    0.9979  0.0134 -0.0914
  +1.653 +1.930  5  10 2511    1.0117 -0.0030 -0.1802
  +1.930 +2.172  5  10 1933    0.9989  0.0000 -0.1524
  +2.172 +2.322  5  10 1529    1.0002 -0.0086 -0.1944
  +2.322 +2.500  5  10 1321    1.0021 -0.0015 -0.3209
  +2.500 +2.650  5  10 1108    0.9520  0.0286 -0.1883
  +2.650 +2.853  5  10  956    0.8871  0.1033  0.2273
  +2.853 +2.964  5  10  781    0.8559  0.1590  0.4867
  +2.964 +3.139  5  10  700    0.9234  0.0747  0.4076
  +3.139 +3.314  5  10  588    0.9589  0.0653  0.2004
  +3.314 +3.489  5  10  493    0.9641  0.0584  0.1355
  +3.489 +3.839  5  10  414    0.8958  0.1354  0.1653
  +3.839 +4.013  5  10  292    0.7856  0.2877  0.3990
  +4.013 +4.583  5  10  245    0.7656  0.2835  0.2030
  +4.583 +5.191  5  10  139    0.7014  0.5471  0.5000
